,PatentNumber,IPC
375,CN108913815-A,C12Q-001/686
376,WO2018217075-A1,A61K-038/00
377,WO2018217075-A1,A61K-038/04
378,WO2018215766-A1,A61K-039/215
379,WO2018215766-A1,A61P-011/00
380,WO2018217882-A1,C12N-005/16
381,WO2018217882-A1,C12N-005/22
382,CN108893559-A,C12Q-001/70
383,CN108893559-A,C12Q-001/6851
384,CN108888762-A,A61K-039/42
385,CN108888762-A,A61K-009/14
386,CN108865967-A,C12N-005/00
387,CN108866243-A,C12Q-001/70
388,CN108866243-A,C12Q-001/6851
389,KR2018125141-A,C12Q-001/6844
390,KR2018125141-A,C12Q-001/70
391,CN108842001-A,C12Q-001/70
392,CN108842001-A,C12Q-001/686
393,WO2018207165-A1,C07D-499/90
394,WO2018207165-A1,C07D-513/20
395,KR1916899-B1,C12Q-001/70
396,CN108743585-A,A61K-031/428
397,CN108743585-A,A61P-031/14
398,CN108727453-A,C07J-001/00
399,CN108727453-A,C07J-009/00
400,CN108721271-A,A61K-031/35
401,CN108721271-A,A61P-031/14
402,CN108721292-A,A61K-031/4709
403,CN108721292-A,A61K-031/194
404,CN108721293-A,A61K-031/4725
405,CN108721293-A,A61P-031/14
406,WO2018199179-A1,G01N-033/543
407,WO2018199179-A1,G01N-033/553
408,WO2018199628-A1,A61K-039/00
409,WO2018199628-A1,A61K-039/09
410,CN108715857-A,C12N-015/50
411,CN108715857-A,C07K-014/165
412,KR1895228-B1,A61K-039/00
413,KR1895228-B1,A61K-047/68
414,CN108707194-A,C07K-014/555
415,CN108707194-A,C12N-015/20
416,KR2018115967-A,C12Q-001/70
417,CN108676780-A,C12N-007/00
418,CN108676780-A,C12N-007/02
419,CN108676923-A,C12Q-001/70
420,CN108676923-A,C12Q-001/686
421,CN108676917-A,C12Q-001/70
422,CN108676917-A,C12Q-001/686
423,CN207992235-U,G01N-033/569
424,US2018298327-A1,C12N-005/073
425,US2018298327-A1,C12R-001/91
426,US2018295820-A1,A01K-067/027
427,US2018295820-A1,A61K-049/00
428,CN108659105-A,A61K-038/16
429,CN108659105-A,A61P-031/14
430,KR2018111342-A,A23K-020/195
431,KR2018111342-A,A23L-033/10
432,WO2018185709-A1,A61K-035/15
433,WO2018185709-A1,C12N-005/0784
434,US2018291317-A1,A01N-025/26
435,US2018291317-A1,C11D-017/00
436,CN108619521-A,A61K-047/10
437,CN108619521-A,A61K-047/42
438,WO2018181263-A1,G01N-033/543
439,WO2018181263-A1,G01N-033/566
440,WO2018181892-A1,A61K-031/47
441,WO2018181892-A1,A61K-031/4704
