,PatentNumber,author
340,US2019255085-A1,JORDAN R
341,US2019255085-A1,MACKMAN R L
342,US2019255085-A1,RAY A S
343,US2019255085-A1,SIEGEL D
344,CN110144422-A,GENG H
345,CN110144422-A,ZHU N
346,CN110144422-A,CAI L
347,CN110144422-A,SUN Y
348,CN110144422-A,XU C
349,CN110144422-A,YANG Z
350,CN110144422-A,WANG S
351,CN110144422-A,WU H
352,CN110144422-A,TAN W
353,CN110128510-A,WANG C
354,CN110128510-A,LI Y
355,CN110124027-A,BI Y
356,CN110124027-A,ZHANG D
357,CN110124027-A,GAO F
358,CN110124027-A,SONG X
359,CN110124027-A,LI Y
360,CN110124027-A,JIA A
361,CN110124027-A,QIN X
362,CN110124027-A,WANG L
363,CN110124027-A,XU L
364,CN110105348-A,SHANG L
365,CN110105348-A,MA Y
366,CN110105348-A,HE S
367,CN110105348-A,SHANG C
368,CN110101705-A,CHU B
369,CN110101705-A,YANG G
370,CN110101705-A,WANG J
371,CN110101705-A,LI G
372,CN110101705-A,MING S
373,KR2019092776-A,JUNG Y J
374,KR2019092776-A,PYO S
375,WO2019151632-A1,LEE S Y
376,WO2019151632-A1,YI K S
377,WO2019151632-A1,KIM C M
378,WO2019151632-A1,SONG K M
379,WO2019151632-A1,B
380,KR2007161-B1,LEE J Y
381,KR2007161-B1,KIM S
382,KR2007161-B1,LEE H
383,KR2007161-B1,HYE-MIN W
384,KR2007161-B1,KO H
385,KR2007161-B1,KIM J
386,CN110093458-A,HE D
387,CN110093458-A,WEI L
388,CN110093458-A,SU D
389,CN110093458-A,XIE Y
390,CN110093458-A,LI J
391,CN110093458-A,LIANG W
392,CN110093458-A,SI G
393,CN110093461-A,SUN P
394,CN110093461-A,LI L
395,CN110093461-A,ZHOU T
396,CN110093461-A,QIN J
397,CN110093461-A,LI J
398,CN110093461-A,ZHAN S
399,CN110093461-A,WANG J
400,CN110093461-A,GAO Y
401,CN110079637-A,SHI L
402,CN110079637-A,LIU K
403,CN110079637-A,MA D
404,CN110079637-A,GUO S
405,CN110079637-A,YIN J
406,CN110079637-A,WANG Y
407,CN110079637-A,ZHAO Z
408,CN110079541-A,XIE Q
409,CN110079541-A,FENG K
410,CN110079541-A,SHAO G
411,CN110079541-A,ZHANG X
412,CN110079541-A,SHAO Y
413,WO2019147050-A1,KIM K
414,WO2019147050-A1,KIM M
415,WO2019147050-A1,KIM U
416,WO2019147050-A1,GO Y Y
417,WO2019147050-A1,NAM H
418,WO2019147050-A1,BANG H T
419,WO2019147050-A1,SHIN J S
420,WO2019147050-A1,YOON J
421,WO2019147050-A1,JANG Y
422,WO2019147050-A1,KIM M H
423,WO2019147050-A1,T
424,US2019232279-A1,JENSEN T D
425,US2019232279-A1,FORD S
426,US2019232279-A1,VILLARREAL E
427,US2019232279-A1,FISH A D
428,WO2019147604-A2,ONEIL R T
429,WO2019147604-A2,WILSON M H
430,KR2005685-B1,LEE J Y
431,KR2005685-B1,KIM S
432,KR2005685-B1,YANG J S
433,KR2005685-B1,CHOI J
434,KR2005685-B1,KIM J M
435,KR2005685-B1,PARK W J
436,KR2005685-B1,OH J W
437,KR2005685-B1,KIM M W
438,WO2019147831-A1,PURCELL L
439,RU2696007-C1,MAK
440,CN110063954-A,PENG G
441,CN110063954-A,MAO J
442,CN110063954-A,LIU Z
443,WO2019136824-A1,WANG C
444,WO2019136824-A1,LIU K
445,WO2019136824-A1,ZHANG P
446,WO2019136824-A1,MENG G
447,WO2019136824-A1,LIANG G
448,AU2019204604-A1,TUCKER C M
449,AU2019204604-A1,HAWORTH J D
450,WO2019137463-A1,ZHAO H F
451,WO2019137463-A1,ZHAO H
452,RU2694558-C1,CHERNYKH O YU
453,RU2694558-C1,BANNOV V A
454,RU2694558-C1,MALYSHEV D V
455,RU2694558-C1,MISHCHENKO A V
456,RU2694558-C1,DONNIK I M
457,RU2694558-C1,LAYSHEV K A
458,RU2694558-C1,SISYAGIN P N
459,RU2694558-C1,LYSENKO A A
460,RU2694558-C1,KRIVONOS R A
461,RU2694558-C1,SHEVKOPLYAS V N
462,RU2694558-C1,KOSHCH
463,RU2694499-C1,CHERNYKH O YU
464,RU2694499-C1,BANNOV V A
465,RU2694499-C1,MALYSHEV D V
466,RU2694499-C1,DROBIN YU D
467,RU2694499-C1,DONNIK I M
468,RU2694499-C1,USHA B V
469,RU2694499-C1,PLEMYASHOV K V
470,RU2694499-C1,LYSENKO A A
471,RU2694499-C1,KRIVONOS R A
472,RU2694499-C1,SHEVKOPLYAS V N
473,RU2694499-C1,KOSHCH
474,CN110003303-A,CHU B
475,CN110003303-A,WANG J
476,CN110003303-A,YANG G
477,CN110003303-A,LI G
478,CN110003303-A,MING S
479,WO2019135003-A1,GUOMUNDSDOTTIR A
480,WO2019135003-A1,STEFANSSON B
481,WO2019135003-A1,SANDHOLT G B
482,CN109988865-A,LIAO Y
483,CN109988865-A,LI Q
484,CN109988865-A,XU Y
485,CN109988865-A,XU H
486,CN109988865-A,LIN M
487,CN109970851-A,GAN J
488,CN109970851-A,TIAN X
489,CN109970851-A,LV H
490,CN109970851-A,LIU X
491,KR2019078174-A,YANG J S
492,KR2019078174-A,KIM S S
493,KR2019078174-A,SONG D
494,KR2019078174-A,NA W
495,KR2019078174-A,KANG A
496,KR2019078174-A,YEOM M
497,KR2019078174-A,HA G W
498,KR2019078174-A,KIM J H
499,KR2019078174-A,KIM D H
500,KR2019078174-A,KIM S
501,KR2019078174-A,SONG D S
502,KR2019078174-A,SUNG N W
503,KR2019078174-A,JOO Y M
504,KR2019078174-A,HA G
505,KR2019078174-A,KIM D
506,WO2019133712-A1,SCHINAZI R F
507,WO2019133712-A1,AMBLARD F
508,WO2019133712-A1,GAVEGNANO C
509,WO2019133712-A1,COX B
510,WO2019133712-A1,MENGSHETTI S
511,WO2019126577-A2,ZHANG F
512,WO2019126577-A2,ZETSCHE B
513,WO2019126577-A2,GOOTENBERG J
514,WO2019126577-A2,ABUDAYYEH O
515,WO2019121916-A1,MONTANE GIRALT J
516,WO2019121916-A1,PUIGVERT MOLAS E
517,WO2019121916-A1,MOROS SANZ A
518,WO2019121916-A1,SITJA ARNAU M
519,EP3502698-A1,LEE F E
520,EP3502698-A1,DAISS J L
521,CN109913423-A,ZHANG X
522,CN109913423-A,QIAN B
523,CN109913423-A,WU Y
524,CN109913423-A,CHEN Y
525,CN109913423-A,GUO M
526,CN109913423-A,ZHANG C
527,CN109913423-A,CAO Y
528,CN109913584-A,SHI K
529,CN109913584-A,WANG R
530,CN109913584-A,SU Y
531,CN109913584-A,LI Z
532,CN109913584-A,YIN Y
533,CN109913584-A,LU W
534,CN109913584-A,QU S
535,CN109913584-A,FENG S
536,KR2019070629-A,JANG Y S
537,KR2019070629-A,KIM J
538,WO2019118480-A1,BAROUCH D H
539,WO2019118480-A1,ABBINK P
540,WO2019118480-A1,IAMPIETRO M J
541,WO2019118480-A1,HAVENGA M J E
542,WO2019110486-A1,LAFLEUR R L
543,WO2019110486-A1,DANT J C
544,WO2019110486-A1,MOGLER M A
545,WO2019110486-A1,CALLISTER S M
546,WO2019110486-A1,XU Z
547,WO2019113462-A1,PAINTER G R
548,WO2019113462-A1,BLUEMLING G R
549,WO2019113462-A1,NATCHUS M G
550,WO2019113462-A1,GUTHRIE D
551,WO2019110213-A1,TARPEY I
552,KR2019063512-A,KYU Y H
553,WO2019108877-A1,LI Q X
554,WO2019108877-A1,LIANG Z
555,CN109796531-A,TONG G
556,CN109796531-A,ZHOU Y
557,CN109796531-A,LI H
558,CN109796531-A,ZHANG W
559,CN109796531-A,CHEN P
560,CN109796531-A,LI X
561,CN109796531-A,YU L
562,CN109796531-A,JIANG Y
563,CN109796531-A,GAO F
564,CN109796531-A,LI L
565,WO2019099868-A2,PHILLIPS A J
566,WO2019099868-A2,NASVESCHUK C G
567,WO2019099868-A2,HENDERSON J A
568,WO2019099868-A2,HE M
569,WO2019099868-A2,LAZARSKI K
570,JP2019077681-A,FUKUYO A
571,JP2019077681-A,NAGAO T
572,JP2019077681-A,NAKAYAMA T
573,CN109765384-A,HE F
574,CN109765384-A,WU X
575,CN109765384-A,SHEN L
576,CN109765384-A,WAN Y
577,CN109765384-A,ZHU L
578,CN109765384-A,LU X
579,CN109765384-A,LI B
580,CN109765384-A,FENG C
581,CN109765384-A,CUI H
582,CN109765384-A,LIU Y
583,US2019142792-A1,PRESTON D
584,US2019142792-A1,MURPHY R B
585,CN109735504-A,LIAO L
586,CN109735504-A,WANG H
587,CN109735504-A,CHEN C
588,CN109735504-A,MAN K
589,WO2019087092-A1,SASIKUMAR P G N
590,WO2019087092-A1,RAMACHANDRA M
591,WO2019087092-A1,RAMACHANDRA R K
592,WO2019087092-A1,LAZORCHAK A S
593,WO2019087092-A1,WYANT T L
594,WO2019086646-A1,TARPEY I
595,KR2019045050-A,YU H J
596,WO2019084484-A1,FOFANOVA T Y
597,WO2019084484-A1,AUCHTUNG J
598,WO2019084484-A1,WILSON R L
599,WO2019084484-A1,STEWART C
600,WO2019084484-A1,PETROSINO J
601,WO2019084484-A1,BRITTON R A
602,WO2019084484-A1,GRANDE-ALLEN J
603,WO2019084484-A1,SHROYER N F
604,WO2019084484-A1,ESTES M K
605,WO2019078600-A1,LEE J M
606,WO2019078600-A1,LEE H J
607,WO2019078600-A1,PARK P G
608,WO2019078600-A1,SHIM D H
609,WO2019078600-A1,KIM N R
610,WO2019078600-A1,LEE J E
611,WO2019078600-A1,PARK J E
612,WO2019078600-A1,LEE H K
613,WO2019078600-A1,KIM H R
614,WO2019078600-A1,PARK S
615,WO2019078600-A1,LEEJUNGEUN
616,WO2019078600-A1,HYELIM K
617,WO2019079339-A1,LAU J Y
618,WO2019079339-A1,YUAN S
619,WO2019079339-A1,CHAN F W J
620,WO2019079339-A1,CHU H
621,WO2019079339-A1,YUEN K Y
622,US2019119266-A1,WERNER M H
623,US2019119266-A1,KELLY T A
624,WO2019079671-A1,YANG A
625,WO2019079671-A1,CHEN I
626,WO2019079671-A1,CHIU Y
627,WO2019079671-A1,YU C
628,WO2019079671-A1,LEE C
629,WO2019079671-A1,TUNG C
630,WO2019079671-A1,TSOU Y
631,WO2019079671-A1,HUANG Y
632,WO2019079671-A1,LIN C
633,WO2019079671-A1,CHEN H
634,WO2019079671-A1,WANG H
635,US2019117702-A1,MARCH K
636,US2019117702-A1,BOGATCHEVA N
637,CN109666070-A,ZHANG L
638,CN109666070-A,WANG X
639,CN109666070-A,JIANG L
640,CN109666070-A,ZUO T
641,CN109666070-A,SHI X
